device_id,day_start,sleep_value,minutes_in_bed,minutes_asleep
2347167796,4/26/2016 12:00:00 AM,1,490,436
2347167796,4/27/2016 12:00:00 AM,1,499,448
2347167796,4/28/2016 12:00:00 AM,1,450,408
2347167796,4/29/2016 12:00:00 AM,1,473,411
3977333714,04-12-16 0:00,1,469,274
3977333714,4/13/2016 12:00:00 AM,2,456,295
3977333714,4/14/2016 12:00:00 AM,1,397,291
3977333714,4/15/2016 12:00:00 AM,1,556,424
3977333714,4/16/2016 12:00:00 AM,1,510,283
3977333714,4/17/2016 12:00:00 AM,1,566,381
3977333714,4/18/2016 12:00:00 AM,2,522,412
3977333714,4/19/2016 12:00:00 AM,1,395,219
3977333714,4/20/2016 12:00:00 AM,2,305,152
3977333714,4/21/2016 12:00:00 AM,1,512,332
3977333714,4/22/2016 12:00:00 AM,1,476,355
3977333714,4/23/2016 12:00:00 AM,1,372,235
3977333714,4/24/2016 12:00:00 AM,1,526,310
3977333714,4/25/2016 12:00:00 AM,1,467,262
3977333714,4/26/2016 12:00:00 AM,1,371,250
3977333714,4/27/2016 12:00:00 AM,1,540,349
3977333714,4/28/2016 12:00:00 AM,1,423,261
3977333714,4/29/2016 12:00:00 AM,1,478,333
3977333714,4/30/2016 12:00:00 AM,1,382,237
3977333714,05-01-16 0:00,1,626,383
3977333714,05-02-16 0:00,1,384,230
3977333714,05-03-16 0:00,1,500,292
3977333714,05-04-16 0:00,1,336,213
3977333714,05-05-16 0:00,1,480,318
3977333714,05-06-16 0:00,1,512,323
3977333714,05-07-16 0:00,1,443,237
3977333714,05-08-16 0:00,2,456,259
3977333714,05-10-16 0:00,1,452,312
4020332650,04-12-16 0:00,1,541,501
4020332650,4/16/2016 12:00:00 AM,1,77,77
4020332650,05-03-16 0:00,1,332,322
4020332650,05-04-16 0:00,1,536,478
4020332650,05-05-16 0:00,1,248,226
4020332650,05-06-16 0:00,1,408,385
4020332650,05-08-16 0:00,1,402,364
4020332650,05-10-16 0:00,1,494,442
4319703577,4/14/2016 12:00:00 AM,1,557,535
4319703577,4/15/2016 12:00:00 AM,1,491,465
4319703577,4/16/2016 12:00:00 AM,1,522,506
4319703577,4/18/2016 12:00:00 AM,1,551,515
4319703577,4/19/2016 12:00:00 AM,2,498,461
4319703577,4/20/2016 12:00:00 AM,1,543,523
4319703577,4/21/2016 12:00:00 AM,1,65,59
4319703577,4/22/2016 12:00:00 AM,1,550,533
4319703577,4/23/2016 12:00:00 AM,1,722,692
4319703577,4/24/2016 12:00:00 AM,1,501,467
4319703577,4/25/2016 12:00:00 AM,1,506,488
4319703577,4/26/2016 12:00:00 AM,1,516,505
4319703577,4/27/2016 12:00:00 AM,1,307,286
4319703577,4/28/2016 12:00:00 AM,1,522,497
4319703577,4/29/2016 12:00:00 AM,1,546,523
4319703577,4/30/2016 12:00:00 AM,1,516,490
4319703577,05-01-16 0:00,1,500,484
4319703577,05-02-16 0:00,1,506,478
4319703577,05-03-16 0:00,1,512,474
4319703577,05-06-16 0:00,1,491,450
4319703577,05-07-16 0:00,1,530,507
4319703577,05-08-16 0:00,1,638,602
4319703577,05-09-16 0:00,1,565,535
4319703577,05-10-16 0:00,1,517,487
4319703577,05-11-16 0:00,1,558,529
4319703577,05-12-16 0:00,1,321,302
4388161847,4/15/2016 12:00:00 AM,1,526,499
4388161847,4/16/2016 12:00:00 AM,2,448,426
4388161847,4/17/2016 12:00:00 AM,2,641,619
4388161847,4/18/2016 12:00:00 AM,1,104,99
4388161847,4/19/2016 12:00:00 AM,1,338,329
4388161847,4/20/2016 12:00:00 AM,1,451,421
4388161847,4/21/2016 12:00:00 AM,1,458,442
4388161847,4/22/2016 12:00:00 AM,1,85,82
4388161847,4/23/2016 12:00:00 AM,1,501,478
4388161847,4/24/2016 12:00:00 AM,3,595,552
4388161847,4/26/2016 12:00:00 AM,1,346,319
4388161847,4/27/2016 12:00:00 AM,1,500,439
4388161847,4/28/2016 12:00:00 AM,1,458,428
4388161847,4/30/2016 12:00:00 AM,2,430,409
4388161847,05-01-16 0:00,1,597,547
4388161847,05-02-16 0:00,2,376,368
4388161847,05-04-16 0:00,1,414,390
4388161847,05-05-16 0:00,1,495,471
4388161847,05-05-16 0:00,1,495,471
4388161847,05-07-16 0:00,1,496,472
4388161847,05-08-16 0:00,2,541,529
4388161847,05-09-16 0:00,1,65,62
4388161847,05-10-16 0:00,1,375,354
4388161847,05-11-16 0:00,1,494,469
4445114986,04-12-16 0:00,2,457,429
4445114986,4/13/2016 12:00:00 AM,2,406,370
4445114986,4/14/2016 12:00:00 AM,1,492,441
4445114986,4/15/2016 12:00:00 AM,2,379,337
4445114986,4/16/2016 12:00:00 AM,1,499,462
4445114986,4/17/2016 12:00:00 AM,1,107,98
4445114986,4/19/2016 12:00:00 AM,2,424,388
4445114986,4/20/2016 12:00:00 AM,1,462,439
4445114986,4/21/2016 12:00:00 AM,1,469,436
4445114986,4/22/2016 12:00:00 AM,1,417,388
4445114986,4/25/2016 12:00:00 AM,1,345,328
4445114986,4/26/2016 12:00:00 AM,2,391,353
4445114986,4/27/2016 12:00:00 AM,1,374,332
4445114986,4/28/2016 12:00:00 AM,1,442,419
4445114986,4/29/2016 12:00:00 AM,1,108,106
4445114986,4/30/2016 12:00:00 AM,1,353,322
4445114986,05-01-16 0:00,2,459,439
4445114986,05-02-16 0:00,1,542,502
4445114986,05-03-16 0:00,2,450,417
4445114986,05-04-16 0:00,2,363,337
4445114986,05-05-16 0:00,2,513,462
4445114986,05-06-16 0:00,2,402,374
4445114986,05-07-16 0:00,2,436,401
4445114986,05-08-16 0:00,1,391,361
4445114986,05-09-16 0:00,1,533,457
4445114986,05-10-16 0:00,1,426,405
4445114986,05-11-16 0:00,1,530,499
4445114986,05-12-16 0:00,1,501,483
4558609924,4/21/2016 12:00:00 AM,1,137,126
4558609924,4/26/2016 12:00:00 AM,1,121,103
4558609924,4/29/2016 12:00:00 AM,1,179,171
4558609924,05-01-16 0:00,1,129,115
4558609924,05-08-16 0:00,1,134,123
4702921684,04-12-16 0:00,1,439,425
4702921684,4/13/2016 12:00:00 AM,2,430,400
4702921684,4/14/2016 12:00:00 AM,1,415,384
4702921684,4/15/2016 12:00:00 AM,1,257,253
4702921684,4/16/2016 12:00:00 AM,2,406,382
4702921684,4/17/2016 12:00:00 AM,1,612,591
4702921684,4/18/2016 12:00:00 AM,1,312,293
4702921684,4/19/2016 12:00:00 AM,1,487,457
4702921684,4/20/2016 12:00:00 AM,1,468,454
4702921684,4/21/2016 12:00:00 AM,1,434,425
4702921684,4/23/2016 12:00:00 AM,1,475,465
4702921684,4/24/2016 12:00:00 AM,1,506,480
4702921684,4/25/2016 12:00:00 AM,1,380,370
4702921684,4/26/2016 12:00:00 AM,1,429,421
4702921684,4/27/2016 12:00:00 AM,1,449,432
4702921684,4/28/2016 12:00:00 AM,1,461,442
4702921684,4/29/2016 12:00:00 AM,1,447,433
4702921684,4/30/2016 12:00:00 AM,1,501,479
4702921684,05-03-16 0:00,1,373,327
4702921684,05-04-16 0:00,1,434,412
4702921684,05-05-16 0:00,1,428,414
4702921684,05-06-16 0:00,1,449,404
4702921684,05-07-16 0:00,1,543,520
4702921684,05-07-16 0:00,1,543,520
4702921684,05-09-16 0:00,1,458,435
4702921684,05-10-16 0:00,1,431,416
4702921684,05-11-16 0:00,1,366,354
4702921684,05-12-16 0:00,1,442,404
5553957443,04-12-16 0:00,1,464,441
5553957443,4/13/2016 12:00:00 AM,2,488,455
5553957443,4/14/2016 12:00:00 AM,1,418,357
5553957443,4/15/2016 12:00:00 AM,1,409,377
5553957443,4/16/2016 12:00:00 AM,2,686,651
5553957443,4/17/2016 12:00:00 AM,1,402,350
5553957443,4/18/2016 12:00:00 AM,2,541,520
5553957443,4/19/2016 12:00:00 AM,1,410,357
5553957443,4/20/2016 12:00:00 AM,1,678,658
5553957443,4/21/2016 12:00:00 AM,1,431,399
5553957443,4/22/2016 12:00:00 AM,1,353,322
5553957443,4/23/2016 12:00:00 AM,2,725,631
5553957443,4/24/2016 12:00:00 AM,2,640,553
5553957443,4/25/2016 12:00:00 AM,1,468,433
5553957443,4/26/2016 12:00:00 AM,1,453,412
5553957443,4/27/2016 12:00:00 AM,1,391,347
5553957443,4/28/2016 12:00:00 AM,1,457,421
5553957443,4/29/2016 12:00:00 AM,1,495,450
5553957443,4/30/2016 12:00:00 AM,2,843,775
5553957443,05-01-16 0:00,2,686,622
5553957443,05-02-16 0:00,1,471,409
5553957443,05-03-16 0:00,1,429,380
5553957443,05-04-16 0:00,1,470,447
5553957443,05-05-16 0:00,1,464,419
5553957443,05-06-16 0:00,1,434,400
5553957443,05-07-16 0:00,1,470,442
5553957443,05-08-16 0:00,1,608,568
5553957443,05-09-16 0:00,1,494,453
5553957443,05-10-16 0:00,1,443,418
5553957443,05-11-16 0:00,1,486,463
5553957443,05-12-16 0:00,1,475,438
5577150313,04-12-16 0:00,1,438,419
5577150313,4/13/2016 12:00:00 AM,1,458,432
5577150313,4/14/2016 12:00:00 AM,1,497,477
5577150313,4/15/2016 12:00:00 AM,1,413,392
5577150313,4/16/2016 12:00:00 AM,1,445,406
5577150313,4/17/2016 12:00:00 AM,1,583,549
5577150313,4/18/2016 12:00:00 AM,1,553,527
5577150313,4/19/2016 12:00:00 AM,1,465,449
5577150313,4/20/2016 12:00:00 AM,1,480,447
5577150313,4/21/2016 12:00:00 AM,1,437,414
5577150313,4/22/2016 12:00:00 AM,1,366,338
5577150313,4/23/2016 12:00:00 AM,1,402,384
5577150313,4/24/2016 12:00:00 AM,1,615,543
5577150313,4/25/2016 12:00:00 AM,1,461,421
5577150313,4/26/2016 12:00:00 AM,1,377,354
5577150313,4/27/2016 12:00:00 AM,1,452,424
5577150313,4/28/2016 12:00:00 AM,1,372,361
5577150313,4/29/2016 12:00:00 AM,1,485,459
5577150313,4/30/2016 12:00:00 AM,1,433,412
5577150313,05-01-16 0:00,1,398,379
5577150313,05-02-16 0:00,2,553,525
5577150313,05-03-16 0:00,1,543,508
5577150313,05-04-16 0:00,1,634,603
5577150313,05-05-16 0:00,1,78,74
5577150313,05-10-16 0:00,1,562,504
5577150313,05-11-16 0:00,1,476,431
6117666160,4/16/2016 12:00:00 AM,1,398,380
6117666160,4/17/2016 12:00:00 AM,2,350,336
6117666160,4/18/2016 12:00:00 AM,2,510,493
6117666160,4/19/2016 12:00:00 AM,1,492,465
6117666160,4/20/2016 12:00:00 AM,1,502,474
6117666160,4/21/2016 12:00:00 AM,1,550,508
6117666160,4/22/2016 12:00:00 AM,1,546,480
6117666160,4/23/2016 12:00:00 AM,1,539,492
6117666160,4/24/2016 12:00:00 AM,1,367,353
6117666160,4/27/2016 12:00:00 AM,1,557,542
6117666160,4/28/2016 12:00:00 AM,1,416,393
6117666160,4/29/2016 12:00:00 AM,1,636,600
6117666160,05-01-16 0:00,1,575,507
6117666160,05-05-16 0:00,1,415,392
6117666160,05-06-16 0:00,2,698,658
6117666160,05-07-16 0:00,2,507,498
6117666160,05-08-16 0:00,1,603,555
6117666160,05-09-16 0:00,1,522,492
6775888955,4/13/2016 12:00:00 AM,1,260,235
6775888955,4/14/2016 12:00:00 AM,1,441,423
6775888955,4/15/2016 12:00:00 AM,1,406,391
6962181067,04-12-16 0:00,1,387,366
6962181067,4/13/2016 12:00:00 AM,3,679,630
6962181067,4/14/2016 12:00:00 AM,2,535,508
6962181067,4/15/2016 12:00:00 AM,1,386,370
6962181067,4/16/2016 12:00:00 AM,1,366,357
6962181067,4/17/2016 12:00:00 AM,1,446,427
6962181067,4/18/2016 12:00:00 AM,1,458,442
6962181067,4/19/2016 12:00:00 AM,1,535,476
6962181067,4/20/2016 12:00:00 AM,1,424,418
6962181067,4/21/2016 12:00:00 AM,1,457,451
6962181067,4/22/2016 12:00:00 AM,1,435,425
6962181067,4/23/2016 12:00:00 AM,1,546,528
6962181067,4/24/2016 12:00:00 AM,1,514,511
6962181067,4/25/2016 12:00:00 AM,1,415,400
6962181067,4/26/2016 12:00:00 AM,1,446,441
6962181067,4/27/2016 12:00:00 AM,1,467,455
6962181067,4/28/2016 12:00:00 AM,1,453,440
6962181067,4/29/2016 12:00:00 AM,1,447,433
6962181067,4/30/2016 12:00:00 AM,1,424,422
6962181067,05-01-16 0:00,1,426,411
6962181067,05-02-16 0:00,1,482,466
6962181067,05-03-16 0:00,1,418,394
6962181067,05-04-16 0:00,1,455,442
6962181067,05-05-16 0:00,1,491,467
6962181067,05-06-16 0:00,1,462,443
6962181067,05-07-16 0:00,1,334,298
6962181067,05-08-16 0:00,1,569,541
6962181067,05-09-16 0:00,1,497,489
6962181067,05-10-16 0:00,1,481,469
6962181067,05-11-16 0:00,1,480,452
6962181067,05-12-16 0:00,1,535,516
7007744171,4/16/2016 12:00:00 AM,1,82,79
7007744171,05-01-16 0:00,1,61,58
7086361926,04-12-16 0:00,1,525,514
7086361926,4/13/2016 12:00:00 AM,1,465,451
7086361926,4/14/2016 12:00:00 AM,1,476,472
7086361926,4/15/2016 12:00:00 AM,1,386,377
7086361926,4/19/2016 12:00:00 AM,1,483,472
7086361926,4/20/2016 12:00:00 AM,1,502,492
7086361926,4/21/2016 12:00:00 AM,1,411,390
7086361926,4/22/2016 12:00:00 AM,1,448,428
7086361926,4/24/2016 12:00:00 AM,1,704,681
7086361926,4/25/2016 12:00:00 AM,1,447,446
7086361926,4/26/2016 12:00:00 AM,1,500,485
7086361926,4/27/2016 12:00:00 AM,1,479,469
7086361926,4/28/2016 12:00:00 AM,1,367,354
7086361926,4/30/2016 12:00:00 AM,1,489,485
7086361926,05-01-16 0:00,1,407,388
7086361926,05-02-16 0:00,1,459,440
7086361926,05-03-16 0:00,1,461,456
7086361926,05-04-16 0:00,1,436,420
7086361926,05-06-16 0:00,1,333,322
7086361926,05-07-16 0:00,1,548,530
7086361926,05-08-16 0:00,1,510,481
7086361926,05-09-16 0:00,1,438,427
7086361926,05-11-16 0:00,1,463,451
7086361926,05-12-16 0:00,1,457,444
8053475328,4/20/2016 12:00:00 AM,1,493,486
8053475328,4/23/2016 12:00:00 AM,1,337,331
8053475328,05-07-16 0:00,1,75,74
8378563200,04-12-16 0:00,1,356,338
8378563200,4/13/2016 12:00:00 AM,2,487,447
8378563200,4/14/2016 12:00:00 AM,1,455,424
8378563200,4/15/2016 12:00:00 AM,1,533,513
8378563200,4/16/2016 12:00:00 AM,2,689,611
8378563200,4/17/2016 12:00:00 AM,2,591,525
8378563200,4/18/2016 12:00:00 AM,1,451,398
8378563200,4/19/2016 12:00:00 AM,1,421,387
8378563200,4/20/2016 12:00:00 AM,1,409,381
8378563200,4/21/2016 12:00:00 AM,1,417,396
8378563200,4/22/2016 12:00:00 AM,1,469,441
8378563200,4/23/2016 12:00:00 AM,1,591,565
8378563200,4/24/2016 12:00:00 AM,1,492,458
8378563200,4/25/2016 12:00:00 AM,1,402,388
8378563200,4/25/2016 12:00:00 AM,1,402,388
8378563200,4/26/2016 12:00:00 AM,1,584,550
8378563200,4/27/2016 12:00:00 AM,1,600,531
8378563200,4/28/2016 12:00:00 AM,1,556,506
8378563200,4/29/2016 12:00:00 AM,1,562,527
8378563200,4/30/2016 12:00:00 AM,1,555,468
8378563200,05-01-16 0:00,1,539,475
8378563200,05-02-16 0:00,1,385,351
8378563200,05-03-16 0:00,1,429,405
8378563200,05-04-16 0:00,1,477,441
8378563200,05-05-16 0:00,1,417,381
8378563200,05-06-16 0:00,1,355,323
8378563200,05-07-16 0:00,2,513,459
8378563200,05-08-16 0:00,1,606,545
8378563200,05-09-16 0:00,1,399,359
8378563200,05-10-16 0:00,1,391,342
8378563200,05-11-16 0:00,1,387,368
8378563200,05-12-16 0:00,1,546,496
8792009665,04-12-16 0:00,1,493,458
8792009665,4/13/2016 12:00:00 AM,1,552,531
8792009665,4/14/2016 12:00:00 AM,1,503,486
8792009665,4/15/2016 12:00:00 AM,1,377,363
8792009665,4/20/2016 12:00:00 AM,1,547,528
8792009665,4/22/2016 12:00:00 AM,1,407,391
8792009665,4/23/2016 12:00:00 AM,1,360,339
8792009665,4/27/2016 12:00:00 AM,1,428,423
8792009665,4/28/2016 12:00:00 AM,1,416,402
8792009665,4/29/2016 12:00:00 AM,1,406,398
8792009665,4/30/2016 12:00:00 AM,1,360,343
8792009665,05-01-16 0:00,1,527,503
8792009665,05-02-16 0:00,1,423,415
8792009665,05-03-16 0:00,1,545,516
8792009665,05-04-16 0:00,1,463,439
